,name,time_start,lon,lat,level,type,province
256,Sạt lở đất tại Cà Mau,2022-05-19,105.360428,9.060664,0,Sạt lở đất,Ca Mau
257,Sạt lở đất tại Cà Mau,2022-05-19,105.185858,8.798401,0,Sạt lở đất,Ca Mau
258,Động đất tại Kon Tum,2022-05-21,108.239,14.908,0,Động đất,Kon Tum
259,Lốc tại An Giang,2022-05-21,105.11959,10.512881,0,Lốc,An Giang
260,Sạt lở đất tại Cà Mau,2022-05-19,105.301511,8.87808,0,Sạt lở đất,Ca Mau
262,Sạt lở đất tại Cà Mau,2022-05-19,105.179075,8.79701,0,Sạt lở đất,Ca Mau
263,Mưa lớn tại Bình Thuận,2022-05-20,107.679277,11.091829,0,Mưa lớn,Binh Thuan
264,Sạt lở đất tại Cà Mau,2022-05-19,105.021385,8.855863,0,Sạt lở đất,Ca Mau
265,Sạt lở đất tại Cà Mau,2022-05-20,105.324214,8.950195,0,Sạt lở đất,Ca Mau
266,Dông sét tại Hòa Bình,2022-06-01,105.635238,20.789068,0,Sét,Hoa Binh
267,Mưa lớn gây ngập úng tại Hà Nội,2022-06-01,105.79313,21.256479,0,Ngập lụt,Ha Noi
268,Sét tại Quảng Trị,2022-05-27,107.013595,17.010595,0,Sét,Quang Tri
269,Dông lốc sét tại Sóc Trăng,2022-04-16,105.973881,9.772638,0,"Dông lốc, sét, mưa đá",Soc Trang
270,Sét tại Thừa Thiên Huế,2022-05-26,107.503557,16.474401,0,Sét,Thua Thien Hue
271,Động đất tại Kon Tum,2022-05-27,108.182,14.907,0,Động đất,Kon Tum
272,Lốc tại Thừa Thiên Huế,2022-05-27,107.368444,16.578764,0,Lốc,Thua Thien Hue
273,Sạt lở đất ven sông tại Cà Mau,2022-06-06,104.874375,8.695017,0,Sạt lở đất,Ca Mau
274,Động đất tại Kon Tum,2022-06-09,108.512,14.765,0,Động đất,Kon Tum
275,Sạt lở đất tại Cao Bằng,2022-05-28,105.678187,22.960807,0,Sạt lở đất,Cao Bang
276,Mưa lớn tại Bà Rịa - Vũng Tàu,2022-05-27,107.246982,10.485282,0,Mưa lớn,Ba Ria - Vung Tau
277,Sét tại Điện Biên,2022-05-29,102.739233,21.852604,0,Sét,Đien Bien
278,Sạt lở đất tại Cà Mau,2022-05-25,105.186648,8.906267,0,Sạt lở đất,Ca Mau
279,Sạt lở đất tại Cà Mau,2022-05-18,105.291036,8.876714,0,Sạt lở đất,Ca Mau
